step,loss,action_loss,temporal_loss,moving_avg,ratio,episode_indices,frame_indices,episode_paths
17277,3.722209,3.691639,0.030569,0.136047,27.36,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
18397,0.442230,0.427413,0.014817,0.034473,12.83,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
18833,1.426318,1.303165,0.123153,0.100233,14.23,"[431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431]","[209, 214, 219, 224, 229, 234, 239, 244, 249, 254, 259, 264, 269, 274, 279, 284]",[431] episode_20260108_141436.h5
18870,2.160612,1.962306,0.198307,0.173831,12.43,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
20734,2.093618,2.063049,0.030569,0.115304,18.16,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
21854,0.425126,0.410309,0.014817,0.034480,12.33,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
24191,7.941025,7.910455,0.030569,0.176256,45.05,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
25311,0.343266,0.328449,0.014817,0.032751,10.48,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
25784,2.010166,1.811860,0.198307,0.155437,12.93,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
27648,3.215297,3.184728,0.030569,0.131140,24.52,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
28768,0.333555,0.318737,0.014817,0.032225,10.35,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
31104,1.965555,1.941161,0.024394,0.109067,18.02,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125]",[912] episode_20260120_101438.h5
31105,3.522219,3.491650,0.030569,0.143281,24.58,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
32225,0.342599,0.327782,0.014817,0.031733,10.80,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
32672,1.389530,1.212592,0.176939,0.112464,12.36,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
32698,1.556915,1.358608,0.198307,0.149781,10.39,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
34562,1.518664,1.488095,0.030569,0.108266,14.03,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
35682,0.341718,0.326901,0.014817,0.032232,10.60,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
36129,1.353194,1.176256,0.176939,0.109660,12.34,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
38018,1.614197,1.589803,0.024394,0.104015,15.52,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125]",[912] episode_20260120_101438.h5
38019,2.901277,2.870708,0.030569,0.132020,21.98,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
39139,0.385862,0.371045,0.014817,0.032216,11.98,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
39586,1.659323,1.482385,0.176939,0.130415,12.72,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
39592,1.915086,1.741518,0.173567,0.152448,12.56,"[434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434]","[200, 205, 210, 215, 220, 225, 230, 235, 240, 245, 250, 255, 260, 265, 270, 275]",[434] episode_20260108_142103.h5
41476,1.844736,1.814166,0.030569,0.109821,16.80,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
42596,0.335540,0.320722,0.014817,0.032054,10.47,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
46053,0.326357,0.311539,0.014817,0.031798,10.26,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
48390,1.454234,1.423664,0.030569,0.118553,12.27,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
49510,0.361367,0.346550,0.014817,0.032752,11.03,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
49957,1.183176,1.006237,0.176939,0.114332,10.35,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
49983,1.880425,1.682118,0.198307,0.165724,11.35,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
